date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1760911680,Oct 19 2025 - 10:08pm,Esports,Esoccer Battle,Argentina (pikalicaaa),Germany (Vick),1.00,1.00,1.00,1.00,5.50,67,100,100,84,84,67,100,84,84,34,1.34,1.00,0,0,0,complete,1,1,1,2,-1,-1,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.50,4.20,4.35,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,17,17,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,N/A,N/A,N/A,1.71,1.00,0,/esports/germany-vick-vs-argentina-pikalicaaa-h2h-stats#8341234
1760911680,Oct 19 2025 - 10:08pm,Esports,Esoccer Battle,Spain (Stormi),France (Cappo),0.00,1.67,0.75,2.00,5.25,84,100,100,84,84,59,100,84,75,25,2.00,0.00,0,0,0,complete,2,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.29,6.00,5.75,N/A,N/A,1.63,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,2.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,17,17,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,N/A,N/A,N/A,0.67,2.00,0,/esports/france-cappo-vs-spain-stormi-h2h-stats#8341235
1760912400,Oct 19 2025 - 10:20pm,Esports,Esoccer Battle,Spain (Stormi),Italy (llulle),0.00,2.00,0.75,1.50,4.17,67,100,100,84,67,50,100,100,50,17,1.33,0.00,0,0,0,complete,2,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.25,4.30,2.45,N/A,N/A,2.20,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,1.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,17,34,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,N/A,N/A,N/A,0.57,1.57,0,/esports/italy-llulle-vs-spain-stormi-h2h-stats#8341220
1760913000,Oct 19 2025 - 10:30pm,Jamaica,Jamaica National Premier League,Waterhouse,Dunbeholden,1.00,2.00,1.00,2.00,2.04,38,100,67,38,0,0,84,13,71,38,11.25,0.00,63,38,25,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.65,3.25,5.28,1.34,2.15,3.90,7.70,2.10,1.65,1.28,1.83,0.00,0.00,8.00,2.88,1.65,1.22,1.05,1.29,1.25,2.10,1.30,3.40,1.34,1.65,2.42,2.70,3.78,2.84,2.11,1.68,1.38,1.18,0,34,63,100,100,1.40,3.05,8.50,2.62,1.33,1.06,1.30,2.40,5.50,3.10,1.50,1.11,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,1.38,1.17,9,/jamaica/waterhouse-fc-vs-dunbeholden-fc-h2h-stats
1760913000,Oct 19 2025 - 10:30pm,Peru,Primera División,Deportivo Garcilaso,Sporting Cristal,1.55,1.80,1.55,1.80,2.74,49,89,71,56,35,20,68,38,77,38,10.20,6.45,61,45,40,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.16,3.45,2.83,1.28,1.90,2.90,5.20,1.65,2.05,1.24,1.58,0.00,0.00,10.40,3.40,1.87,1.33,1.06,1.25,1.26,1.48,1.57,2.25,1.33,1.67,2.09,2.75,3.80,2.83,2.09,1.66,1.44,1.19,12,30,44,66,80,1.36,2.43,5.50,2.85,1.42,1.04,1.18,2.08,4.45,3.95,1.69,1.15,N/A,N/A,N/A,N/A,30,1.96,6.95,2.38,1.55,1.80,15,/peru/club-sporting-cristal-sac-vs-club-deportivo-garcilaso-h2h-stats
1760914800,Oct 19 2025 - 11:00pm,Mexico,Ascenso MX,Tapatío,Mineros de Zacatecas,1.09,1.36,1.09,1.36,2.86,55,91,78,59,36,9,82,46,69,46,10.56,5.37,66,42,42,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.63,3.20,2.42,1.28,1.83,3.10,5.70,1.70,2.00,1.47,1.63,0.00,0.00,9.90,3.55,1.95,1.30,1.08,1.30,1.25,1.44,1.90,1.80,1.19,1.42,1.69,2.10,2.78,3.80,2.62,2.00,1.59,1.34,9,23,41,64,91,1.35,2.66,6.50,2.86,1.42,1.05,1.18,2.03,4.20,3.90,1.71,1.16,N/A,N/A,N/A,N/A,17,2.07,7.22,1.95,1.09,1.36,12,/mexico/club-deportivo-mineros-de-zacatecas-vs-cd-tapatio-h2h-stats
1760914800,Oct 19 2025 - 11:00pm,Mexico,Liga TDP,Deportivo Cimagol,Zapotlanejo II,3.00,0.00,3.00,0.00,2.50,50,100,50,50,50,0,0,0,0,0,0.00,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,50,50,50,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.50,1.50,6,/mexico/club-deportivo-cimagol-vs-zapotlanejo-ii-h2h-stats
1760914800,Oct 19 2025 - 11:00pm,Guatemala,Liga Nacional de Fútbol de Guatemala,Comunicaciones,Municipal,0.86,2.07,0.86,2.07,2.39,43,93,72,50,22,4,68,40,75,40,9.86,4.86,54,47,40,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.20,3.15,2.15,1.34,2.20,3.80,8.40,1.91,1.79,1.40,1.83,0.00,0.00,7.09,2.80,1.62,1.17,1.04,1.36,1.28,1.33,2.37,1.53,1.54,2.00,3.19,3.54,5.35,2.28,1.80,1.43,1.21,1.07,7,29,50,79,97,1.44,3.10,9.00,2.60,1.33,1.06,1.30,2.40,5.40,3.10,1.50,1.12,N/A,N/A,N/A,N/A,29,N/A,N/A,N/A,0.86,2.07,15,/guatemala/csd-municipal-vs-csd-comunicaciones-h2h-stats
1760914800,Oct 19 2025 - 11:00pm,Mexico,Liga MX Femenil,Monterrey Women,León Women,1.73,1.60,1.73,1.60,3.80,50,100,93,73,54,33,87,50,90,57,9.00,1.80,60,50,20,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.25,5.70,8.25,1.12,1.40,1.95,3.35,1.76,2.01,1.77,1.57,0.00,0.00,16.50,5.75,2.56,1.70,1.25,1.12,1.10,3.00,1.08,7.00,1.35,1.66,2.00,2.74,3.85,2.80,2.08,1.66,1.37,1.18,0,7,27,47,67,1.22,2.05,4.40,3.95,1.70,1.17,1.11,1.64,3.20,4.80,2.13,1.35,N/A,N/A,N/A,N/A,7,1.23,9.90,4.90,1.73,1.60,16,/mexico/club-leon-women-vs-cf-monterrey-women-h2h-stats
1760914800,Oct 19 2025 - 11:00pm,Ecuador,Primera Categoría Serie A,Libertad,CD Universidad Católica,1.58,1.61,1.58,1.61,2.92,66,99,83,50,34,18,79,29,81,47,10.39,4.42,68,58,42,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.04,3.30,2.10,1.22,1.83,3.05,5.75,1.64,2.07,1.41,1.58,0.00,0.00,10.40,3.60,1.98,1.32,1.14,1.31,1.25,1.27,2.20,1.61,1.08,1.23,1.79,1.78,2.28,5.23,3.40,2.35,1.92,1.50,2,18,50,66,83,1.33,2.72,5.50,2.94,1.42,1.11,1.18,1.98,4.05,3.90,1.73,1.17,N/A,N/A,N/A,N/A,23,2.03,7.50,1.91,1.58,1.61,2,/ecuador/cd-universidad-catolica-del-ecuador-vs-ca-libertad-h2h-stats
